"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"contribuir";1,0082124916828;-0,721408585377883;-0,956542498962189;1,37481741616623;0,483844937622711;-0,346206672573609;-0,459048315272652;0,659780009130108;0,332752628625141;0,12983799997706;0,201587230679513;0,335822140718282;0,0045587064156889;0,00233399590178593;0,00410342043548388;0,00847671392010564;0,00448474212732768;1,05514821657245;0,004993032749445
"sustentabilidade";0,656880033696268;0,659616607216912;-0,102298626685993;0,382162259214996;0,64942252565856;0,652128031072427;-0,101137238317307;0,377823600748292;0,507998274345594;0,39038680851053;0,00829214432372423;0,0933227728201533;0,00168271962043018;0,00169676930297884;4,08111885418356e-05;0,000569554420857208;0,00389977576289363;0,556387142769283;0,00120724052896156
"respeito";0,000460306887823759;-0,268667174233735;-0,178208394062591;-2,12432634020802;0,000214230603008722;-0,125039907651305;-0,0829396490279377;-0,988678911588046;8,38905972603551e-08;0,0217805785484167;0,00846275529979052;0,969756582261195;6,81692524351547e-10;0,000232232394155643;0,000102176235407443;0,0145189781797945;0,00321731500438725;0,959429290656286;0,00296155314462166
"novo";0,495563112790024;0,268266454505868;-0,34028496385192;0,692657852237528;0,518603464967442;0,280739040599703;-0,356105926319622;0,724861784374763;0,38446663036518;0,0858648277584618;0,122006609003798;0,407661932872559;0,000885889007902027;0,000259605630563178;0,000417702319886614;0,00173068843812551;0,00360729258067661;0,482493857940267;0,000839778877756951
"ambiente";0,048062913541028;-0,505993800652356;0,844092871900316;-0,289025138731119;0,0468073408888874;-0,492775459702021;0,822042191911469;-0,281474783722737;0,00319815155396726;0,270141372167495;0,663890492323792;0,0627699839547442;9,45908488234357e-06;0,00104838144725962;0,00291749016364461;0,000342058330347936;0,00409476455103832;0,513077200525768;0,0010779394535803
"realizar";0,106177835033229;0,434802658402323;-0,723837689766761;-0,279699300577799;0,118525392906825;0,485366422360551;-0,808013711652005;-0,312225894287378;0,0204811155213197;0,261753268904766;0,640627226534596;0,0771383890393168;3,5172023483962e-05;0,000589812543250391;0,00163460193390467;0,000244068866120572;0,00311982061031491;0,447898084287809;0,000625875617147125
"brasil";-1,47717753497967;0,53245323446245;-0,207195903537971;0,119825145132016;-0,930008977456017;0,335224626965632;-0,130447455244488;0,0754401269034187;0,896192295053893;0,0887402429816856;0,011866845218278;0,00320061674614162;0,00723309134979552;0,00093976983467328;0,000142305239646987;4,75942501512039e-05;0,00331480939845959;0,942007225606392;0,00294148765186879
"sociedade";0,625606097214493;-0,851178764859929;0,402898749753356;0,544572697691991;0,498530464467938;-0,678283902411167;0,321060331320951;0,433956895761944;0,322457305239453;0,454918598591278;0,0900117582867086;0,132612337882559;0,00114472942050877;0,002119056126787;0,000474780352596717;0,000867386437764061;0,00292483182217023;0,665100087974086;0,00129382312671289
"buscar";0,774154031655471;-0,374293623365799;-0,259135467171128;0,0136889321496317;0,861902671858027;-0,416718974321606;-0,288507896872095;0,0152405422076283;0,797617703456908;0,142097598692791;0,0601493407333915;0,000135357116905622;0,00222033242270449;0,000519024785678789;0,000248780855332744;6,94228410753083e-07;0,00370478697474895;0,523301681399404;0,00101453609151866
"relação";-0,718862271644873;-0,502708679142619;-0,349666456018718;-0,817285927173859;-0,575605440971533;-0,402527524884561;-0,279983972658725;-0,654414962457701;0,447729025079382;0,166870086566771;0,0712966201314636;0,314104268222385;0,00151144476628964;0,000739151845818416;0,000357609331572653;0,00195365980332388;0,00292483182217023;0,648575006827478;0,00123032915905605
